"caseid","SurveyId","v000","v005","v007","v012","v021","v022","v025","v119","v121","v133","v136","v157","v158","v159","v190","v191","v212","v301","v364","v501","v503","v531","v536","v613","v714","v715","v717","v836"
"       23811  3","GU2015DHS","GU6",999400,2015,15,238,11,2,1,1,9,3,2,1,2,4,16307,NA,3,3,0,NA,0,0,3,0,NA,0,NA
"       23811  4","AM2016DHS","AM7",955276,2016,25,238,13,1,1,1,16,8,0,0,2,4,67188,24,3,2,1,1,23,1,3,1,12,1,1
"       23811  7","AM2016DHS","AM7",955276,2016,23,238,13,1,1,1,12,8,0,0,2,4,67188,20,3,2,1,1,18,1,3,1,12,1,1
"       23813  1","GU2015DHS","GU6",999400,2015,42,238,11,2,1,1,6,4,2,1,2,2,-82285,21,3,4,1,1,17,3,5,1,0,9,1
"       23813  2","AM2016DHS","AM7",955276,2016,29,238,13,1,1,1,13,4,0,0,1,4,71201,20,3,4,5,1,18,3,2,0,NA,0,1
"       23814  4","GU2015DHS","GU6",999400,2015,23,238,11,2,1,1,4,6,2,2,2,4,81081,16,3,3,2,1,15,1,3,0,6,0,2
"       23815  2","AM2016DHS","AM7",955276,2016,36,238,13,1,1,1,10,3,0,0,2,2,-4983,25,3,4,5,1,23,3,1,0,NA,0,1
"       23815  4","GU2015DHS","GU6",999400,2015,19,238,11,2,1,1,7,6,2,2,2,3,-3839,NA,3,2,0,NA,17,1,2,0,NA,0,1
"       23815  5","GU2015DHS","GU6",999400,2015,18,238,11,2,1,1,6,6,2,2,2,3,-3839,NA,3,3,2,1,18,1,3,0,2,0,1
"       23816  3","GU2015DHS","GU6",999400,2015,19,238,11,2,1,1,6,4,1,2,2,4,24852,NA,3,3,0,NA,0,0,2,0,NA,0,NA
"       23816  4","GU2015DHS","GU6",999400,2015,17,238,11,2,1,1,11,4,2,2,2,4,24852,NA,3,3,0,NA,0,0,3,0,NA,0,NA
"       23817  1","GU2015DHS","GU6",999400,2015,36,238,11,2,1,1,10,7,1,0,1,4,58694,18,3,3,5,1,17,3,3,1,9,3,1
"       23817  2","GU2015DHS","GU6",999400,2015,16,238,11,2,1,1,7,7,2,1,2,4,58694,NA,3,3,0,NA,0,0,3,0,NA,0,NA
"       23818  2","AM2016DHS","AM7",955276,2016,29,238,13,1,1,1,15,4,2,1,2,3,35986,22,3,3,1,1,21,3,3,0,10,0,1
"       23818  2","GU2015DHS","GU6",999400,2015,17,238,11,2,1,1,2,3,0,1,2,2,-61011,15,3,1,2,1,14,1,2,0,3,0,1
"       23819  2","GU2015DHS","GU6",999400,2015,20,238,11,2,1,1,6,3,2,2,2,3,-40312,18,3,3,2,1,15,1,2,0,5,0,1
"       23819  4","AM2016DHS","AM7",955276,2016,33,238,13,1,1,1,12,6,2,2,2,5,80557,20,3,4,1,1,19,1,3,0,10,0,1
"       23820  2","GU2015DHS","GU6",999400,2015,31,238,11,2,1,1,0,5,0,0,2,1,-105967,17,3,1,1,1,14,1,6,0,0,0,1
"       23821  2","GU2015DHS","GU6",999400,2015,35,238,11,2,1,1,2,8,2,2,2,3,-10926,13,3,1,1,1,12,1,3,0,1,3,1
"       23821  3","GU2015DHS","GU6",999400,2015,18,238,11,2,1,1,7,8,2,2,2,3,-10926,NA,3,3,2,1,17,1,3,0,6,0,1
"       23822  1","GU2015DHS","GU6",999400,2015,28,238,11,2,1,1,2,6,2,2,2,4,9189,20,3,1,2,1,17,1,3,1,3,3,3
"       23823  2","GU2015DHS","GU6",999400,2015,34,238,11,2,1,1,7,17,0,2,2,3,-24408,20,3,1,5,1,19,1,2,1,6,9,2
"       23823  3","GU2015DHS","GU6",999400,2015,24,238,11,2,1,1,1,17,2,2,2,3,-24408,18,3,3,5,1,17,3,2,1,7,9,1
"       23823  4","GU2015DHS","GU6",999400,2015,21,238,11,2,1,1,3,17,2,2,2,3,-24408,NA,3,3,2,1,15,3,2,0,7,9,2
"       23823  5","GU2015DHS","GU6",999400,2015,18,238,11,2,1,1,3,17,2,1,1,3,-24408,13,3,3,0,NA,12,2,2,0,NA,0,2
"       23823  9","GU2015DHS","GU6",999400,2015,17,238,11,2,1,1,8,17,1,1,2,3,-24408,NA,3,2,2,1,17,1,2,0,8,9,1
"       23824  2","GU2015DHS","GU6",999400,2015,38,238,11,2,1,1,6,8,2,0,2,3,-43926,18,3,2,2,2,17,1,3,1,2,3,3
"       23826  2","GU2015DHS","GU6",999400,2015,46,238,11,2,1,1,4,5,0,1,2,4,59547,18,3,4,2,1,16,1,6,1,1,3,1
"       23826  3","GU2015DHS","GU6",999400,2015,27,238,11,2,1,1,14,5,2,2,2,4,59547,23,3,1,1,1,97,1,3,1,9,3,1
"       23828  3","AM2016DHS","AM7",955276,2016,29,238,13,1,1,1,13,3,1,2,2,4,56978,NA,3,3,0,NA,0,0,2,0,NA,0,NA
"       239 1  2","GU2015DHS","GU6",422215,2015,40,239,11,2,1,1,4,10,2,2,2,3,-37119,17,3,1,1,1,14,1,3,0,0,0,1
"       239 1  3","GU2015DHS","GU6",422215,2015,22,239,11,2,1,1,6,10,2,2,2,3,-37119,21,3,1,1,1,18,1,2,1,6,9,1
"       239 2  1","GU2015DHS","GU6",422215,2015,46,239,11,2,1,1,0,5,2,2,2,3,1152,20,3,4,3,1,16,3,6,0,6,3,4
"       239 2  2","AM2016DHS","AM7",803884,2016,46,239,13,1,1,1,13,3,2,2,2,4,56088,21,3,4,3,1,20,3,2,0,NA,0,1
"       239 2  3","GU2015DHS","GU6",422215,2015,17,239,11,2,1,1,9,5,0,0,2,3,1152,17,3,3,0,NA,16,2,2,0,NA,0,1
"       239 3  2","GU2015DHS","GU6",422215,2015,25,239,11,2,1,1,9,7,2,2,2,3,-38944,18,3,1,2,1,17,1,3,0,9,0,1
"       239 3  4","GU2015DHS","GU6",422215,2015,23,239,11,2,7,7,7,7,2,2,2,3,-38944,22,3,3,0,NA,21,2,3,1,NA,3,3
"       239 4  3","GU2015DHS","GU6",422215,2015,25,239,11,2,1,1,6,8,0,2,2,4,18291,19,3,3,5,1,16,1,2,1,8,9,2
"       239 4  5","GU2015DHS","GU6",422215,2015,31,239,11,2,1,1,9,8,2,2,2,4,18291,18,3,3,0,NA,18,2,2,1,NA,9,2
"       239 5  2","GU2015DHS","GU6",422215,2015,22,239,11,2,1,1,5,3,2,2,2,3,-43732,19,3,1,2,2,15,1,4,1,8,9,5
"       239 6  2","GU2015DHS","GU6",422215,2015,29,239,11,2,1,1,6,5,2,2,2,2,-63578,24,3,3,5,1,97,3,1,1,9,3,1
